;Text;Thématique;Groupe;lang;lang_predict;lemma;cleaned;bigrams
18;['The', 'following', 'list', 'is', 'intended', 'represent', 'anything', 'that', 'is', 'likely', 'referred', 'as', 'mind', 'sport', 'not', 'argue', 'their', 'validity', 'as', 'sports'];list_of_sports;groupe D;En;En;['follow', 'list', 'intend', 'represent', 'referred', 'mind', 'sport', 'argue', 'validity', 'sports'];['follow', 'list', 'intend', 'represent', 'referred', 'mind', 'sport', 'argue', 'validity', 'sports'];['follow', 'list', 'intend', 'represent', 'referred', 'mind', 'sport', 'argue', 'validity', 'sports']
19;['Potentially', 'other', 'sports', 'are', 'listed'];list_of_sports;groupe D;En;En;['sports', 'list'];['sports', 'list'];['sports', 'list']
20;['Sports', 'played', 'using', 'electronic', 'devices'];list_of_sports;groupe D;En;En;['sports', 'played', 'electronic', 'device'];['sports', 'played', 'electronic', 'device'];['sports', 'played', 'electronic', 'device']
21;['Sports', 'which', 'the', 'method', 'of', 'scoring', 'is', 'through', 'goals'];list_of_sports;groupe D;En;En;['sports', 'method', 'score', 'goal'];['sports', 'method', 'score', 'goal'];['sports', 'method', 'score', 'goal']
22;['Sports', 'mainly', 'based', 'on', 'sheer'];list_of_sports;groupe D;En;En;['sports', 'base', 'sheer'];['sports', 'base', 'sheer'];['sports', 'base', 'sheer']
23;['Sports', 'where', 'the', 'objective', 'is', 'hit', 'certain', 'target'];list_of_sports;groupe D;En;En;['sports', 'objective', 'hit', 'target'];['sports', 'objective', 'hit', 'target'];['sports', 'objective', 'hit', 'target']
24;['Sports', 'that', 'involve', 'teams'];list_of_sports;groupe D;En;En;['sports', 'involve', 'team'];['sports', 'involve', 'team'];['sports', 'involve', 'team']
25;['Sports', 'which', 'the', 'wind', 'apart', 'from', 'sailing'];list_of_sports;groupe D;En;En;['sports', 'wind', 'sail'];['sports', 'wind', 'sail'];['sports', 'wind', 'sail']
26;['programming', 'language', 'is', 'formal', 'language', 'which', 'comprises', 'set', 'of', 'instructions', 'that', 'produce', 'various', 'kinds', 'of', 'output'];programming_language;groupe D;En;En;['programming', 'language', 'formal', 'language', 'comprises', 'set', 'instructions', 'produce', 'output'];['programming', 'language', 'formal', 'language', 'comprises', 'set', 'instructions', 'produce', 'output'];['programming_language', 'formal', 'language', 'comprises', 'set', 'instructions', 'produce', 'output']
27;['Programming', 'languages', 'are', 'used', 'computer', 'programming', 'implement', 'algorithms'];programming_language;groupe D;En;En;['programming', 'language', 'programming', 'implement', 'algorithm'];['programming', 'language', 'programming', 'implement', 'algorithm'];['programming_language', 'programming', 'implement', 'algorithm']
28;['Most', 'programming', 'languages', 'consist', 'of', 'instructions', 'for', 'computers'];programming_language;groupe D;En;En;['programming', 'language', 'consist', 'instructions'];['programming', 'language', 'consist', 'instructions'];['programming_language', 'consist', 'instructions']
29;['There', 'are', 'programmable', 'machines', 'that', 'set', 'of', 'specific', 'instructions', 'rather', 'than', 'general', 'programming', 'languages'];programming_language;groupe D;En;En;['programmable', 'machines', 'set', 'specific', 'instructions', 'programming', 'language'];['programmable', 'machines', 'set', 'specific', 'instructions', 'programming', 'language'];['programmable', 'machines', 'set', 'specific', 'instructions', 'programming_language']
30;['Early', 'ones', 'preceded', 'the', 'invention', 'of', 'the', 'digital', 'computer', 'the', 'first', 'probably', 'being', 'the', 'automatic', 'flute', 'player', 'described', 'the', '9th', 'century', 'by', 'the', 'brothers', 'during', 'the', 'Islamic', 'Golden', 'Age'];programming_language;groupe D;En;En;['precede', 'digital', 'automatic', 'flute', 'player', '9th', 'century', 'brother', 'islamic', 'golden', 'age'];['precede', 'digital', 'automatic', 'flute', 'player', 'century', 'brother', 'islamic', 'golden', 'age'];['precede', 'digital', 'automatic', 'flute', 'player', 'century', 'brother', 'islamic', 'golden', 'age']
31;['the', 'early', '1800s', 'programs', 'been', 'used', 'direct', 'the', 'behavior', 'of', 'machines', 'as', 'looms', 'music', 'boxes', 'and', 'player', 'pianos'];programming_language;groupe D;En;En;['1800s', 'program', 'direct', 'behavior', 'machines', 'loom', 'music', 'box', 'player', 'piano'];['program', 'direct', 'behavior', 'machines', 'loom', 'music', 'box', 'player', 'piano'];['program', 'direct', 'behavior', 'machines', 'loom', 'music', 'box', 'player', 'piano']
32;['The', 'programs', 'for', 'these', 'machines', 'as', 'player', 'piano', 'scrolls', 'not', 'produce', 'different', 'behavior', 'response', 'different', 'inputs', 'conditions'];programming_language;groupe D;En;En;['program', 'machines', 'player', 'piano', 'scroll', 'produce', 'behavior', 'response', 'input', 'conditions'];['program', 'machines', 'player', 'piano', 'scroll', 'produce', 'behavior', 'response', 'input', 'conditions'];['program', 'machines', 'player', 'piano', 'scroll', 'produce', 'behavior', 'response', 'input', 'conditions']
33;['Thousands', 'of', 'different', 'programming', 'languages', 'been', 'created', 'and', 'are', 'being', 'created', 'every', 'year'];programming_language;groupe D;En;En;['thousands', 'programming', 'language', 'create', 'create'];['thousands', 'programming', 'language', 'create', 'create'];['thousands', 'programming_language', 'create', 'create']
34;['programming', 'languages', 'are', 'written', 'imperative', 'form'];programming_language;groupe D;En;En;['programming', 'language', 'write', 'imperative', 'form'];['programming', 'language', 'write', 'imperative', 'form'];['programming_language', 'write', 'imperative', 'form']
35;['as', 'sequence', 'of', 'operations', 'perform', 'while', 'other', 'languages', 'the', 'declarative', 'form'];programming_language;groupe D;En;En;['sequence', 'operations', 'perform', 'language', 'declarative', 'form'];['sequence', 'operations', 'perform', 'language', 'declarative', 'form'];['sequence', 'operations', 'perform', 'language', 'declarative', 'form']
36;['the', 'desired', 'result', 'is', 'specified', 'not', 'how', 'achieve', 'it'];programming_language;groupe D;En;En;['desire', 'result', 'achieve'];['desire', 'result', 'achieve'];['desire', 'result', 'achieve']
37;['The', 'description', 'of', 'programming', 'language', 'is', 'usually', 'split', 'into', 'the', 'two', 'components', 'of', 'syntax', 'form', 'and', 'semantics', 'meaning'];programming_language;groupe D;En;En;['description', 'programming', 'language', 'split', 'component', 'syntax', 'form', 'semantics', 'meaning'];['description', 'programming', 'language', 'split', 'component', 'syntax', 'form', 'semantics', 'meaning'];['description', 'programming_language', 'split', 'component', 'syntax', 'form', 'semantics', 'meaning']
38;['languages', 'are', 'defined', 'by', 'specification', 'document', 'for', 'example', 'the', 'programming', 'language', 'is', 'specified', 'by', 'ISO', 'Standard', 'while', 'other', 'languages', 'as', 'Perl', 'dominant', 'implementation', 'that', 'is', 'treated', 'as', 'reference'];programming_language;groupe D;En;En;['language', 'define', 'specification', 'document', 'programming', 'language', 'iso', 'standard', 'language', 'perl', 'dominant', 'implementation', 'treat', 'reference'];['language', 'define', 'specification', 'document', 'programming', 'language', 'iso', 'standard', 'language', 'perl', 'dominant', 'implementation', 'treat', 'reference'];['language', 'define', 'specification', 'document', 'programming_language', 'iso', 'standard', 'language', 'perl', 'dominant', 'implementation', 'treat', 'reference']
39;['languages', 'both', 'with', 'the', 'basic', 'language', 'defined', 'by', 'standard', 'and', 'extensions', 'taken', 'from', 'the', 'dominant', 'implementation', 'being'];programming_language;groupe D;En;En;['language', 'basic', 'language', 'define', 'standard', 'extension', 'dominant', 'implementation'];['language', 'basic', 'language', 'define', 'standard', 'extension', 'dominant', 'implementation'];['language', 'basic', 'language', 'define', 'standard', 'extension', 'dominant', 'implementation']
40;['programming', 'language', 'is', 'notation', 'for', 'writing', 'programs', 'which', 'are', 'specifications', 'of', 'computation', 'algorithm'];programming_language;groupe D;En;En;['programming', 'language', 'notation', 'write', 'program', 'specifications', 'computation', 'algorithm'];['programming', 'language', 'notation', 'write', 'program', 'specifications', 'computation', 'algorithm'];['programming_language', 'notation', 'write', 'program', 'specifications', 'computation', 'algorithm']
41;['authors', 'restrict', 'the', 'term', 'programming', 'language', 'those', 'languages', 'that', 'can', 'express', 'all', 'possible', 'algorithms'];programming_language;groupe D;En;En;['author', 'restrict', 'term', 'programming', 'language', 'language', 'express', 'algorithm'];['author', 'restrict', 'term', 'programming', 'language', 'language', 'express', 'algorithm'];['author', 'restrict', 'term', 'programming_language', 'language', 'express', 'algorithm']
42;['Traits', 'often', 'considered', 'important', 'for', 'what', 'constitutes', 'programming', 'language', 'include'];programming_language;groupe D;En;En;['traits', 'constitutes', 'programming', 'language'];['traits', 'constitutes', 'programming', 'language'];['traits', 'constitutes', 'programming_language']
43;['Markup', 'languages', 'like', 'XML', 'HTML', 'troff', 'which', 'define', 'structured', 'data', 'are', 'not', 'usually', 'considered', 'programming', 'languages'];programming_language;groupe D;En;En;['markup', 'language', 'xml', 'troff', 'define', 'structure', 'data', 'programming', 'language'];['markup', 'language', 'xml', 'troff', 'define', 'structure', 'data', 'programming', 'language'];['markup_language', 'xml', 'troff', 'define', 'structure', 'data', 'programming_language']
44;['Programming', 'languages', 'however', 'share', 'the', 'syntax', 'with', 'markup', 'languages', 'if', 'computational', 'semantics', 'is', 'defined'];programming_language;groupe D;En;En;['programming', 'language', 'share', 'syntax', 'markup', 'language', 'computational', 'semantics', 'define'];['programming', 'language', 'share', 'syntax', 'markup', 'language', 'computational', 'semantics', 'define'];['programming_language', 'share', 'syntax', 'markup_language', 'computational', 'semantics', 'define']
45;['XSLT', 'for', 'example', 'is', 'complete', 'language', 'entirely', 'using', 'XML', 'syntax'];programming_language;groupe D;En;En;['xslt', 'complete', 'language', 'xml', 'syntax'];['xslt', 'complete', 'language', 'xml', 'syntax'];['xslt', 'complete', 'language', 'xml', 'syntax']
46;['Moreover', 'LaTeX', 'which', 'is', 'mostly', 'used', 'for', 'structuring', 'documents', 'also', 'contains', 'complete', 'subset'];programming_language;groupe D;En;En;['latex', 'structure', 'documents', 'complete', 'subset'];['latex', 'structure', 'documents', 'complete', 'subset'];['latex', 'structure', 'documents', 'complete', 'subset']
47;['The', 'term', 'computer', 'language', 'is', 'sometimes', 'used', 'interchangeably', 'with', 'programming', 'language'];programming_language;groupe D;En;En;['term', 'language', 'programming', 'language'];['term', 'language', 'programming', 'language'];['term', 'language_programming', 'language']
48;['However', 'the', 'usage', 'of', 'both', 'terms', 'varies', 'among', 'authors', 'including', 'the', 'exact', 'scope', 'of', 'each'];programming_language;groupe D;En;En;['usage', 'term', 'varies', 'author', 'exact', 'scope'];['usage', 'term', 'varies', 'author', 'exact', 'scope'];['usage', 'term', 'varies', 'author', 'exact', 'scope']
49;['One', 'usage', 'describes', 'programming', 'languages', 'as', 'subset', 'of', 'computer', 'languages'];programming_language;groupe D;En;En;['usage', 'describes', 'programming', 'language', 'subset', 'language'];['usage', 'describes', 'programming', 'language', 'subset', 'language'];['usage', 'describes', 'programming_language', 'subset', 'language']
50;['Similarly', 'languages', 'used', 'computing', 'that', 'different', 'goal', 'than', 'expressing', 'computer', 'programs', 'are', 'generically', 'designated', 'computer', 'languages'];programming_language;groupe D;En;En;['language', 'computing', 'goal', 'express', 'program', 'designate', 'language'];['language', 'computing', 'goal', 'express', 'program', 'designate', 'language'];['language', 'computing', 'goal', 'express', 'program', 'designate', 'language']
51;['For', 'instance', 'markup', 'languages', 'are', 'sometimes', 'referred', 'as', 'computer', 'languages', 'emphasize', 'that', 'are', 'not', 'meant', 'used', 'for', 'programming'];programming_language;groupe D;En;En;['instance', 'markup', 'language', 'referred', 'language', 'emphasize', 'meant', 'programming'];['instance', 'markup', 'language', 'referred', 'language', 'emphasize', 'meant', 'programming'];['instance', 'markup_language', 'referred', 'language', 'emphasize', 'meant', 'programming']
52;['Another', 'usage', 'regards', 'programming', 'languages', 'as', 'theoretical', 'constructs', 'for', 'programming', 'abstract', 'machines', 'and', 'computer', 'languages', 'as', 'the', 'subset', 'thereof', 'that', 'runs', 'on', 'physical', 'computers', 'which', 'finite', 'hardware', 'resources'];programming_language;groupe D;En;En;['usage', 'regard', 'programming', 'language', 'theoretical', 'construct', 'programming', 'abstract', 'machines', 'language', 'subset', 'physical', 'finite', 'hardware', 'resources'];['usage', 'regard', 'programming', 'language', 'theoretical', 'construct', 'programming', 'abstract', 'machines', 'language', 'subset', 'physical', 'finite', 'hardware', 'resources'];['usage', 'regard', 'programming_language', 'theoretical', 'construct', 'programming', 'abstract', 'machines', 'language', 'subset', 'physical', 'finite', 'hardware', 'resources']
53;['emphasizes', 'that', 'formal', 'specification', 'languages', 'are', 'just', 'as', 'much', 'programming', 'languages', 'as', 'are', 'the', 'languages', 'intended', 'for', 'execution'];programming_language;groupe D;En;En;['emphasizes', 'formal', 'specification', 'language', 'programming', 'language', 'language', 'intend', 'execution'];['emphasizes', 'formal', 'specification', 'language', 'programming', 'language', 'language', 'intend', 'execution'];['emphasizes', 'formal', 'specification', 'language_programming', 'language', 'language', 'intend', 'execution']
54;['also', 'argues', 'that', 'textual', 'and', 'graphical', 'input', 'formats', 'that', 'affect', 'the', 'behavior', 'of', 'computer', 'are', 'programming', 'languages', 'despite', 'the', 'fact', 'are', 'commonly', 'not', 'Turing-complete', 'and', 'remarks', 'that', 'ignorance', 'of', 'programming', 'language', 'concepts', 'is', 'the', 'reason', 'for', 'flaws', 'input', 'formats'];programming_language;groupe D;En;En;['argues', 'textual', 'graphical', 'input', 'formats', 'affect', 'behavior', 'programming', 'language', 'turing-complete', 'remark', 'ignorance', 'programming', 'language', 'concepts', 'reason', 'flaw', 'input', 'formats'];['argues', 'textual', 'graphical', 'input', 'formats', 'affect', 'behavior', 'programming', 'language', 'turing-complete', 'remark', 'ignorance', 'programming', 'language', 'concepts', 'reason', 'flaw', 'input', 'formats'];['argues', 'textual', 'graphical', 'input', 'formats', 'affect', 'behavior', 'programming_language', 'turing-complete', 'remark', 'ignorance', 'programming_language', 'concepts', 'reason', 'flaw', 'input', 'formats']
55;['Very', 'early', 'computers', 'as', 'Colossus', 'were', 'programmed', 'without', 'the', 'help', 'of', 'stored', 'program', 'by', 'modifying', 'their', 'circuitry', 'setting', 'banks', 'of', 'physical', 'controls'];programming_language;groupe D;En;En;['colossus', 'programmed', 'store', 'program', 'modify', 'circuitry', 'set', 'bank', 'physical', 'control'];['colossus', 'programmed', 'store', 'program', 'modify', 'circuitry', 'set', 'bank', 'physical', 'control'];['colossus', 'programmed', 'store', 'program', 'modify', 'circuitry', 'set', 'bank', 'physical', 'control']
56;['Slightly', 'later', 'programs', 'could', 'written', 'machine', 'language', 'where', 'the', 'programmer', 'writes', 'each', 'instruction', 'numeric', 'form', 'the', 'hardware', 'can', 'execute', 'directly'];programming_language;groupe D;En;En;['program', 'write', 'machine', 'language', 'programmer', 'writes', 'instruction', 'numeric', 'form', 'hardware', 'execute'];['program', 'write', 'machine', 'language', 'programmer', 'writes', 'instruction', 'numeric', 'form', 'hardware', 'execute'];['program', 'write', 'machine', 'language', 'programmer', 'writes', 'instruction', 'numeric', 'form', 'hardware', 'execute']
57;['For', 'example', 'the', 'instruction', 'add', 'the', 'value', 'two', 'memory', 'location', 'might', 'consist', 'of', 'numbers', 'opcode', 'that', 'selects', 'the', 'add', 'operation', 'and', 'two', 'memory', 'locations'];programming_language;groupe D;En;En;['instruction', 'add', 'memory', 'location', 'consist', 'opcode', 'selects', 'add', 'operation', 'memory', 'location'];['instruction', 'add', 'memory', 'location', 'consist', 'opcode', 'selects', 'add', 'operation', 'memory', 'location'];['instruction', 'add', 'memory', 'location', 'consist', 'opcode', 'selects', 'add', 'operation', 'memory', 'location']
58;['The', 'programs', 'decimal', 'binary', 'form', 'were', 'read', 'from', 'punched', 'cards', 'paper', 'tape', 'magnetic', 'tape', 'toggled', 'on', 'switches', 'on', 'the', 'front', 'of', 'the', 'computer'];programming_language;groupe D;En;En;['program', 'decimal', 'binary', 'form', 'read', 'punch', 'card', 'paper', 'tape', 'magnetic', 'tape', 'toggle', 'switch'];['program', 'decimal', 'binary', 'form', 'read', 'punch', 'card', 'paper', 'tape', 'magnetic', 'tape', 'toggle', 'switch'];['program', 'decimal', 'binary', 'form', 'read', 'punch', 'card', 'paper', 'tape', 'magnetic', 'tape', 'toggle', 'switch']
59;['Machine', 'languages', 'were', 'later', 'termed', 'first-generation', 'programming', 'languages', '1GL'];programming_language;groupe D;En;En;['machine', 'language', 'term', 'first-generation', 'programming', 'language', '1gl'];['machine', 'language', 'term', 'first-generation', 'programming', 'language', '1gl'];['machine', 'language', 'term', 'first-generation', 'programming_language', '1gl']
60;['The', 'next', 'step', 'was', 'development', 'of', 'so-called', 'second-generation', 'programming', 'languages', '2GL', 'assembly', 'languages', 'which', 'were', 'still', 'closely', 'tied', 'the', 'instruction', 'set', 'architecture', 'of', 'the', 'specific', 'computer'];programming_language;groupe D;En;En;['development', 'so-called', 'second-generation', 'programming', 'language', '2gl', 'language', 'tie', 'instruction', 'set', 'architecture', 'specific'];['development', 'so-called', 'second-generation', 'programming', 'language', '2gl', 'language', 'tie', 'instruction', 'set', 'architecture', 'specific'];['development', 'so-called', 'second-generation', 'programming_language', '2gl', 'language', 'tie', 'instruction', 'set', 'architecture', 'specific']
61;['These', 'served', 'make', 'the', 'program', 'much', 'human-readable', 'and', 'relieved', 'the', 'programmer', 'of', 'tedious', 'and', 'error-prone', 'address', 'calculations'];programming_language;groupe D;En;En;['serve', 'program', 'human-readable', 'relieve', 'programmer', 'tedious', 'error-prone', 'address', 'calculation'];['serve', 'program', 'human-readable', 'relieve', 'programmer', 'tedious', 'error-prone', 'address', 'calculation'];['serve', 'program', 'human-readable', 'relieve', 'programmer', 'tedious', 'error-prone', 'address', 'calculation']
62;['The', 'first', 'high-level', 'programming', 'languages', 'third-generation', 'programming', 'languages', '3GL', 'were', 'written', 'the', '1950s'];programming_language;groupe D;En;En;['high-level', 'programming', 'language', 'third-generation', 'programming', 'language', '3gl', 'write', '1950s'];['high-level', 'programming', 'language', 'third-generation', 'programming', 'language', '3gl', 'write'];['high-level', 'programming_language', 'third-generation', 'programming_language', '3gl', 'write']
63;['early', 'high-level', 'programming', 'language', 'designed', 'for', 'computer', 'was', 'Plankalkül', 'developed', 'for', 'the', 'German', 'Z3', 'by', 'between', 'and'];programming_language;groupe D;En;En;['high-level', 'programming', 'language', 'design', 'plankalkul', 'developed', 'german', 'z3'];['high-level', 'programming', 'language', 'design', 'plankalkul', 'developed', 'german'];['high-level', 'programming_language', 'design', 'plankalkul', 'developed', 'german']
64;['However', 'it', 'was', 'not', 'implemented', 'until', 'and'];programming_language;groupe D;En;En;['implement'];['implement'];['implement']
65;['Mauchly', 'Short', 'Code', 'proposed', 'was', 'one', 'of', 'the', 'first', 'high-level', 'languages', 'ever', 'developed', 'for', 'electronic', 'computer'];programming_language;groupe D;En;En;['short', 'code', 'propose', 'high-level', 'language', 'developed', 'electronic'];['short', 'code', 'propose', 'high-level', 'language', 'developed', 'electronic'];['short', 'code', 'propose', 'high-level', 'language', 'developed', 'electronic']
66;['Unlike', 'machine', 'code', 'Short', 'Code', 'statements', 'represented', 'mathematical', 'expressions', 'understandable', 'form'];programming_language;groupe D;En;En;['machine', 'code', 'short', 'code', 'statement', 'represent', 'mathematical', 'expressions', 'understandable', 'form'];['machine', 'code', 'short', 'code', 'statement', 'represent', 'mathematical', 'expressions', 'understandable', 'form'];['machine_code', 'short', 'code', 'statement', 'represent', 'mathematical', 'expressions', 'understandable', 'form']
67;['However', 'the', 'program', 'had', 'translated', 'into', 'machine', 'code', 'every', 'time', 'it', 'ran', 'making', 'the', 'process', 'much', 'slower', 'than', 'running', 'the', 'equivalent', 'machine', 'code'];programming_language;groupe D;En;En;['program', 'translate', 'machine', 'code', 'time', 'process', 'slow', 'equivalent', 'machine', 'code'];['program', 'translate', 'machine', 'code', 'time', 'process', 'slow', 'equivalent', 'machine', 'code'];['program', 'translate', 'machine_code', 'time', 'process', 'slow', 'equivalent', 'machine_code']
68;['the', 'University', 'of', 'Manchester', 'developed', 'the', 'early', '1950s'];programming_language;groupe D;En;En;['university', 'manchester', 'developed', '1950s'];['university', 'manchester', 'developed'];['university_manchester', 'developed']
69;['As', 'programming', 'language', 'it', 'used', 'compiler', 'automatically', 'the', 'language', 'into', 'machine', 'code'];programming_language;groupe D;En;En;['programming', 'language', 'compiler', 'language', 'machine', 'code'];['programming', 'language', 'compiler', 'language', 'machine', 'code'];['programming_language', 'compiler', 'language', 'machine_code']
70;['The', 'first', 'code', 'and', 'compiler', 'was', 'developed', 'for', 'the', 'computer', 'the', 'University', 'of', 'Manchester', 'and', 'is', 'considered', 'the', 'first', 'compiled', 'high-level', 'programming', 'language'];programming_language;groupe D;En;En;['code', 'compiler', 'developed', 'university', 'manchester', 'compile', 'high-level', 'programming', 'language'];['code', 'compiler', 'developed', 'university', 'manchester', 'compile', 'high-level', 'programming', 'language'];['code', 'compiler', 'developed', 'university_manchester', 'compile', 'high-level', 'programming_language']
71;['The', 'was', 'developed', 'for', 'the', 'by'];programming_language;groupe D;En;En;['developed'];['developed'];['developed']
72;['also', 'developed', 'for', 'the', 'Ferranti', 'Mercury', 'the', '1950s', 'conjunction', 'with', 'the', 'University', 'of', 'Manchester'];programming_language;groupe D;En;En;['developed', 'ferranti', 'mercury', '1950s', 'conjunction', 'university', 'manchester'];['developed', 'ferranti', 'mercury', 'conjunction', 'university', 'manchester'];['developed', 'ferranti', 'mercury', 'conjunction', 'university_manchester']
73;['The', 'version', 'for', 'the', 'EDSAC', 'was', 'devised', 'by'];programming_language;groupe D;En;En;['version', 'edsac', 'devise'];['version', 'edsac', 'devise'];['version', 'edsac', 'devise']
74;['of', 'University', 'of', 'Cambridge', 'Mathematical', 'Laboratory'];programming_language;groupe D;En;En;['university', 'cambridge', 'mathematical', 'laboratory'];['university', 'cambridge', 'mathematical', 'laboratory'];['university', 'cambridge', 'mathematical', 'laboratory']
